"Time","{instance=""flask-python-service.web.svc.cluster.local:6000"", job=""flask""}"
2021-02-14 07:39:00,0
2021-02-14 07:39:15,0
2021-02-14 07:39:30,0
2021-02-14 07:39:45,0
2021-02-14 07:40:00,0
2021-02-14 07:40:15,0
2021-02-14 07:40:30,0
2021-02-14 07:40:45,0
2021-02-14 07:41:00,0
2021-02-14 07:41:15,0
2021-02-14 07:41:30,0
2021-02-14 07:41:45,0
2021-02-14 07:42:00,0
2021-02-14 07:42:15,0
2021-02-14 07:42:30,0
2021-02-14 07:42:45,0
2021-02-14 07:43:00,0
2021-02-14 07:43:15,0
2021-02-14 07:43:30,0
2021-02-14 07:43:45,0
2021-02-14 07:44:00,0
2021-02-14 07:44:15,0
2021-02-14 07:44:30,0
2021-02-14 07:44:45,0
2021-02-14 07:45:00,0
2021-02-14 07:45:15,0
2021-02-14 07:45:30,0
2021-02-14 07:45:45,0
2021-02-14 07:46:00,0
2021-02-14 07:46:15,0
2021-02-14 07:46:30,0
2021-02-14 07:46:45,0
2021-02-14 07:47:00,0
2021-02-14 07:47:15,0
2021-02-14 07:47:30,0
2021-02-14 07:47:45,0
2021-02-14 07:48:00,0
2021-02-14 07:48:15,0
2021-02-14 07:48:30,0
2021-02-14 07:48:45,0
2021-02-14 07:49:00,0
2021-02-14 07:49:15,0
2021-02-14 07:49:30,0
2021-02-14 07:49:45,0
2021-02-14 07:50:00,0
2021-02-14 07:50:15,0
2021-02-14 07:50:30,0
2021-02-14 07:50:45,0
2021-02-14 07:51:00,0
2021-02-14 07:51:15,0
2021-02-14 07:51:30,0
2021-02-14 07:51:45,0
2021-02-14 07:52:00,0
2021-02-14 07:52:15,0
2021-02-14 07:52:30,0
2021-02-14 07:52:45,0
2021-02-14 07:53:00,0
2021-02-14 07:53:15,0
2021-02-14 07:53:30,0
2021-02-14 07:53:45,0
2021-02-14 07:54:00,0
2021-02-14 07:54:15,0
2021-02-14 07:54:30,0
2021-02-14 07:54:45,0
2021-02-14 07:55:00,0
2021-02-14 07:55:15,0
2021-02-14 07:55:30,0
2021-02-14 07:55:45,0
2021-02-14 07:56:00,0
2021-02-14 07:56:15,0
2021-02-14 07:56:30,0
2021-02-14 07:56:45,0
2021-02-14 07:57:00,0
2021-02-14 07:57:15,0
2021-02-14 07:57:30,0
2021-02-14 07:57:45,0
2021-02-14 07:58:00,0
2021-02-14 07:58:15,0
2021-02-14 07:58:30,0
2021-02-14 07:58:45,0
2021-02-14 07:59:00,0
2021-02-14 07:59:15,0
2021-02-14 07:59:30,0
2021-02-14 07:59:45,0
2021-02-14 08:00:00,0
2021-02-14 08:00:15,0
2021-02-14 08:00:30,0
2021-02-14 08:00:45,0
2021-02-14 08:01:00,0
2021-02-14 08:01:15,0
2021-02-14 08:01:30,0
2021-02-14 08:01:45,0
2021-02-14 08:02:00,0
2021-02-14 08:02:15,0
2021-02-14 08:02:30,0
2021-02-14 08:02:45,0
2021-02-14 08:03:00,0
2021-02-14 08:03:15,0
2021-02-14 08:03:30,0
2021-02-14 08:03:45,0
2021-02-14 08:04:00,0
2021-02-14 08:04:15,0
2021-02-14 08:04:30,0
2021-02-14 08:04:45,0
2021-02-14 08:05:00,0
2021-02-14 08:05:15,0
2021-02-14 08:05:30,0
2021-02-14 08:05:45,0
2021-02-14 08:06:00,0
2021-02-14 08:06:15,0
2021-02-14 08:06:30,0
2021-02-14 08:06:45,0
2021-02-14 08:07:00,0
2021-02-14 08:07:15,0
2021-02-14 08:07:30,0
2021-02-14 08:07:45,0
2021-02-14 08:08:00,0
2021-02-14 08:08:15,0
2021-02-14 08:08:30,0
2021-02-14 08:08:45,0
2021-02-14 08:09:00,0
2021-02-14 08:09:15,0
2021-02-14 08:09:30,0
2021-02-14 08:09:45,0
2021-02-14 08:10:00,0
2021-02-14 08:10:15,0
2021-02-14 08:10:30,0
2021-02-14 08:10:45,0
2021-02-14 08:11:00,0
2021-02-14 08:11:15,0
2021-02-14 08:11:30,0
2021-02-14 08:11:45,231
2021-02-14 08:12:00,914
2021-02-14 08:12:15,760
2021-02-14 08:12:30,163
2021-02-14 08:12:45,0
2021-02-14 08:13:00,0
2021-02-14 08:13:15,512
2021-02-14 08:13:30,928
2021-02-14 08:13:45,977
2021-02-14 08:14:00,839
2021-02-14 08:14:15,934
2021-02-14 08:14:30,909
2021-02-14 08:14:45,983
2021-02-14 08:15:00,854
2021-02-14 08:15:15,870
2021-02-14 08:15:30,866
2021-02-14 08:15:45,1018
2021-02-14 08:16:00,895
2021-02-14 08:16:15,863
2021-02-14 08:16:30,864
2021-02-14 08:16:45,1016
2021-02-14 08:17:00,904
2021-02-14 08:17:15,857
2021-02-14 08:17:30,848
2021-02-14 08:17:45,1015
2021-02-14 08:18:00,922
2021-02-14 08:18:15,874
2021-02-14 08:18:30,845
2021-02-14 08:18:45,1017
2021-02-14 08:19:00,924
2021-02-14 08:19:15,866
2021-02-14 08:19:30,827
2021-02-14 08:19:45,1019
2021-02-14 08:20:00,944
2021-02-14 08:20:15,915
